NBN Atlas record ID,Occurrence ID,Licence,Rightsholder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date,Start date day,Start date month,Start date year,End date,End date day,End date month,End date year,Locality,OSGR,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Verbatim depth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality
232aa355-26a2-4bbd-a711-3d00139ece32,36572447,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,22/06/2024,22,06,2024,,,,,"Standon, Hertfordshire",TL401210,51.870270000000005,0.03474,50,,Chantal Helm,,,,,,,,,,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TL,TL42,TL42A,TL4021,United Kingdom,England,
22eb4779-01d1-49a3-bb3e-56345edf9186,36487352,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,18/06/2024,18,06,2024,,,,,Warley Street,TQ59158785,51.567111,0.29493,7.1,,"Barnes, Ruth","Barnes, Ruth",1,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TQ,TQ58,TQ58Y,TQ5987,United Kingdom,England,
1c162037-bdd3-454b-960c-019cf08dccfc,36367313,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,09/06/2024,09,06,2024,,,,,Dorset,SY98U,50.69238281,-2.040388823,1410,,dreamstate2002,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SY,SY98,SY98U,,United Kingdom,England,
1873f486-e51b-481a-aa8e-1da539914cfd,36560844,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,21/06/2024,21,06,2024,,,,,North of Forfar,NO44865435,56.677683,-2.901439,7.1,,"Taylor, Angela",,1,,,,,not recorded,not recorded,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NO,NO45,NO45M,NO4454,United Kingdom,Scotland,
181b23ad-494b-4d21-afb0-7de7d569d69e,36964506,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,26/06/2024,26,06,2024,,,,,Wrinehill Wood,SJ749445,52.997682,-2.374684,70.7,,"Richard, Anne-Marie",,4,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SJ,SJ74,SJ74M,SJ7444,United Kingdom,England,
1753b5b2-14ed-4d20-899b-fe154d876a4e,36384781,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,11/06/2024,11,06,2024,,,,,Grimstone Warren,TF67752158,52.7658,0.4849699999999999,6,,Mark Martin,,,,,,,,,,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TF,TF62,TF62Q,TF6721,United Kingdom,England,
12e35758-ab08-458d-9982-c8b8b3ce92e0,36235537,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,02/06/2024,02,06,2024,,,,,Bridleway on Great Litchfield Down,SU4756,51.305645,-1.319983,707.1,,"Jewsbury, David","Jewsbury, David",3,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SU,SU45,SU45T,SU4756,United Kingdom,England,
11ab8441-c7f4-4c00-b7a9-97e5d490ed6e,36386638,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,11/06/2024,11,06,2024,,,,,North of Forfar,NO44925436,56.67778,-2.900462,7.1,,"Taylor, Angela",,3,,,,,not recorded,not recorded,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NO,NO45,NO45M,NO4454,United Kingdom,Scotland,
0e9d7241-feaa-494a-a989-0d4b7bcbb9d7,36572757,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,22/06/2024,22,06,2024,,,,,Standon lodge farm,TL40632086,51.868669999999995,0.04115,5,,Chantal Helm,,,,,,,,,One,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TL,TL42,TL42A,TL4020,United Kingdom,England,
0787c3c3-a866-4743-8710-a143125affea,36523282,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,09/06/2024,09,06,2024,,,,,Cheshire East,SJ862636,53.16949463,-2.207895041,65,,dreamstate2002,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SJ,SJ86,SJ86R,SJ8663,United Kingdom,England,
